chrom	length	bases	mean	min	max
NC_069499.1	1601664463	6252240186	3.90	0	94544
NC_069500.1	1450603269	5002067751	3.45	0	58799
NC_069501.1	1296922325	4309017481	3.32	0	70865
NC_069502.1	1241340601	4637866666	3.74	0	7085
NC_069503.1	1167632593	4015822650	3.44	0	33379
NC_069504.1	1160268632	3787951958	3.26	0	70269
NC_069505.1	643478974	2448511647	3.81	0	27131
NC_069506.1	354776354	1271085975	3.58	0	2394
NC_069507.1	291274852	1061996736	3.65	0	108228
NC_069508.1	220236004	827591185	3.76	0	11606
NC_069509.1	202747905	661128528	3.26	0	2332
NC_069510.1	161021261	651420208	4.05	0	1363
NW_026510679.1	63549	220867	3.48	0	52
NW_026510680.1	38495	27667	0.72	0	7
NW_026510681.1	57344	128585	2.24	0	30
NW_026510682.1	15133	56962	3.76	0	15
NW_026510683.1	49135	171478	3.49	0	24
NW_026510684.1	22809	567821	24.89	0	351
NW_026510685.1	265183	693504	2.62	0	22
NW_026510686.1	120394	236330	1.96	0	17
NW_026510687.1	69805	330778	4.74	0	29
NW_026510688.1	34150	92320	2.70	0	18
NW_026510689.1	37353	132184	3.54	0	70
NW_026510690.1	49924	57665	1.16	0	13
NW_026510691.1	522461	1513572	2.90	0	40
NW_026510692.1	60004	304391	5.07	0	81
NW_026510693.1	23712	52452	2.21	0	9
NW_026510694.1	41845	199754	4.77	0	42
NW_026510695.1	51795	137694	2.66	0	18
NW_026510696.1	10259	20401	1.99	0	11
NW_026510697.1	324224	620035	1.91	0	26
NW_026510698.1	36665	144765	3.95	0	14
NW_026510699.1	67933	88441	1.30	0	12
NW_026510700.1	23399	80258	3.43	0	14
NW_026510701.1	222590	403944	1.81	0	24
NW_026510702.1	127115	803114	6.32	0	191
NW_026510703.1	23727	62705	2.64	0	50
NW_026510704.1	168684	463926	2.75	0	32
NW_026510705.1	46278	120665	2.61	0	12
NW_026510706.1	44876	281052	6.26	0	51
NW_026510707.1	49599	88609	1.79	0	22
NW_026510708.1	242248	675170	2.79	0	20
NW_026510709.1	210118	322602	1.54	0	16
NW_026510710.1	94221	617499	6.55	0	175
NW_026510711.1	50599	186928	3.69	0	43
NW_026510712.1	30948	112640	3.64	0	28
NW_026510713.1	53865	42699	0.79	0	8
NW_026510714.1	183455	255863	1.39	0	17
NW_026510715.1	58714	126608	2.16	0	12
NW_026510716.1	298630	1188955	3.98	0	178
NW_026510717.1	50199	86756	1.73	0	13
NW_026510718.1	62703	116243	1.85	0	34
NW_026510719.1	485246	1265845	2.61	0	58
NW_026510720.1	42646	179360	4.21	0	211
NW_026510721.1	49850	1112854	22.32	0	283
NW_026510722.1	24751	80151	3.24	0	16
NW_026510723.1	110643	239531	2.16	0	18
NW_026510724.1	31193	113725	3.65	0	13
NW_026510725.1	71298	171722	2.41	0	14
NW_026510726.1	33384	82307	2.47	0	16
NW_026510727.1	72037	172175	2.39	0	42
NW_026510728.1	40401	687303	17.01	0	417
NW_026510729.1	214444	473068	2.21	0	70
NW_026510730.1	45585	175535	3.85	0	23
NW_026510731.1	17533	48849	2.79	0	12
NW_026510732.1	56730	185677	3.27	0	71
NW_026510733.1	78315	154617	1.97	0	12
NW_026510734.1	33735	86774	2.57	0	20
NW_026510735.1	71459	232303	3.25	0	43
NW_026510736.1	92592	195408	2.11	0	18
NW_026510737.1	268446	862109	3.21	0	38
NW_026510738.1	49475	57357	1.16	0	10
NW_026510739.1	56187	441144	7.85	0	721
NW_026510740.1	71642	95395	1.33	0	10
NW_026510741.1	26156	51480	1.97	0	12
NW_026510742.1	21507	51120	2.38	0	17
NW_026510743.1	41998	250065	5.95	0	380
NW_026510744.1	85413	112940	1.32	0	10
NW_026510745.1	35456	106389	3.00	0	22
NW_026510746.1	88333	476426	5.39	0	30
NW_026510747.1	17651	61010	3.46	0	13
NW_026510748.1	20219	60809	3.01	0	11
NW_026510749.1	91981	165610	1.80	0	12
NW_026510750.1	34074	105357	3.09	0	14
NW_026510751.1	121950	195497	1.60	0	16
NW_026510752.1	62069	156812	2.53	0	29
NW_026510753.1	338283	4683305	13.84	0	213
NW_026510754.1	63301	142567	2.25	0	24
NW_026510755.1	21927	105159	4.80	0	19
NW_026510756.1	102448	173988	1.70	0	14
NW_026510757.1	37766	163100	4.32	0	25
NW_026510758.1	51622	62817	1.22	0	11
NW_026510759.1	51250	250489	4.89	0	46
NW_026510760.1	20154	66923	3.32	0	19
NW_026510761.1	36032	2621315	72.75	0	1619
NW_026510762.1	25358	158838	6.26	0	72
NW_026510763.1	103345	558887	5.41	0	48
NW_026510764.1	34030	7313640	214.92	0	1112
NW_026510765.1	364023	476595	1.31	0	61
NW_026510766.1	43765	175535	4.01	0	17
NW_026510767.1	50124	48232	0.96	0	11
NW_026510768.1	43159	90217	2.09	0	13
NW_026510769.1	40273	163126	4.05	0	135
NW_026510770.1	80349	224137	2.79	0	21
NW_026510771.1	72846	327599	4.50	0	60
NW_026510772.1	44512	145175	3.26	0	22
NW_026510773.1	113604	227808	2.01	0	15
NW_026510774.1	37099	427811	11.53	0	116
NW_026510775.1	21675	346642	15.99	0	141
NW_026510776.1	54002	361374	6.69	0	109
NW_026510777.1	182007	439033	2.41	0	37
NW_026510778.1	63407	199796	3.15	0	41
NW_026510779.1	37293	72124	1.93	0	13
NW_026510780.1	131247	407959	3.11	0	79
NW_026510781.1	35093	124885	3.56	0	14
NW_026510782.1	41822	109161	2.61	0	21
NW_026510783.1	25881	104774	4.05	0	21
NW_026510784.1	50140	83608	1.67	0	11
NW_026510785.1	49997	19096	0.38	0	6
NW_026510786.1	44386	181395	4.09	0	40
NW_026510787.1	21716	49475	2.28	0	15
NW_026510788.1	55940	226333	4.05	0	45
NW_026510789.1	28541	67323	2.36	0	14
NW_026510790.1	27851	126714	4.55	0	31
NW_026510791.1	112250	205264	1.83	0	12
NW_026510792.1	80109	301211	3.76	0	19
NW_026510793.1	20299	71079	3.50	0	36
NW_026510794.1	57368	175682	3.06	0	13
NW_026510795.1	47123	97334	2.07	0	18
NW_026510796.1	118293	2847946	24.08	0	8609
NW_026510797.1	69722	107323	1.54	0	13
NW_026510798.1	101420	126178	1.24	0	16
NW_026510799.1	94485	245614	2.60	0	34
NW_026510800.1	33763	148402	4.40	0	319
NW_026510801.1	411185	1258655	3.06	0	50
NW_026510802.1	37145	164069	4.42	0	33
NW_026510803.1	103406	343736	3.32	0	21
NW_026510804.1	203182	441478	2.17	0	18
NW_026510805.1	143330	842361	5.88	0	59
NW_026510806.1	132302	493302	3.73	0	24
NW_026510807.1	109733	180465	1.64	0	16
NW_026510808.1	85329	150294	1.76	0	14
NW_026510809.1	36061	26797	0.74	0	56
NW_026510810.1	49275	221752	4.50	0	51
NW_026510811.1	220737	643330	2.91	0	60
NW_026510812.1	40677	139688	3.43	0	20
NW_026510813.1	218191	691902	3.17	0	33
NW_026510814.1	48119	113558	2.36	0	24
NW_026510815.1	1817	2740	1.51	0	4
NW_026510816.1	56933	84958	1.49	0	10
NW_026510817.1	59499	184699	3.10	0	26
NW_026510818.1	28825	59387	2.06	0	12
NW_026510819.1	31699	94391	2.98	0	17
NW_026510820.1	44628	198701	4.45	0	16
NW_026510821.1	60995	110993	1.82	0	11
NW_026510822.1	17472	26882	1.54	0	9
NW_026510823.1	37530	282235	7.52	0	211
NW_026510824.1	83770	108746	1.30	0	13
NW_026510825.1	33872	129927	3.84	0	40
NW_026510826.1	473170	1080269	2.28	0	28
NW_026510827.1	49998	107439	2.15	0	21
NW_026510828.1	387219	888848	2.30	0	29
NW_026510829.1	103277	164301	1.59	0	16
NW_026510830.1	56780	283445	4.99	0	27
NW_026510831.1	74761	94291	1.26	0	20
NW_026510832.1	36933	108847	2.95	0	30
NW_026510833.1	215571	501117	2.32	0	23
NW_026510834.1	37504	239428	6.38	0	29
NW_026510835.1	72945	113470	1.56	0	17
NW_026510836.1	27523	159448	5.79	0	86
NW_026510837.1	23609	65194	2.76	0	12
NW_026510838.1	44398	89506	2.02	0	13
NW_026510839.1	70392	131594	1.87	0	13
NW_026510840.1	50262	116121	2.31	0	13
NW_026510841.1	303728	600583	1.98	0	23
NW_026510842.1	38841	248377	6.39	0	146
NW_026510843.1	20111	344343	17.12	0	937
NW_026510844.1	36106	112224	3.11	0	13
NW_026510845.1	7565	10830	1.43	0	7
NW_026510846.1	37019	38982	1.05	0	10
NW_026510847.1	24258	298997	12.33	0	154
NW_026510848.1	318195	805540	2.53	0	70
NW_026510849.1	35598	158407	4.45	0	75
NW_026510850.1	25509	105411	4.13	0	19
NW_026510851.1	22757	215997	9.49	0	114
NW_026510852.1	131609	294630	2.24	0	33
NW_026510853.1	196298	563037	2.87	0	38
NW_026510854.1	25391	40495	1.59	0	9
NW_026510855.1	182985	360637	1.97	0	18
NW_026510856.1	41116	132272	3.22	0	29
NW_026510857.1	29436	112787	3.83	0	15
NW_026510858.1	45292	157216	3.47	0	30
NW_026510859.1	43569	144128	3.31	0	18
NW_026510860.1	110515	462741	4.19	0	129
NW_026510861.1	50256	99029	1.97	0	16
NW_026510862.1	301617	778310	2.58	0	33
NW_026510863.1	39858	207632	5.21	0	57
NW_026510864.1	29463	93595	3.18	0	14
NW_026510865.1	63633	96919	1.52	0	10
NW_026510866.1	64127	118836	1.85	0	24
NW_026510867.1	47281	134132	2.84	0	20
NW_026510868.1	39634	131734	3.32	0	22
NW_026510869.1	58850	195510	3.32	0	18
NW_026510870.1	46758	137131	2.93	0	15
NW_026510871.1	29656	114907	3.87	0	39
NW_026510872.1	386608	1870508	4.84	0	72
NW_026510873.1	249894	649148	2.60	0	24
NW_026510874.1	44804	158391	3.54	0	28
NW_026510875.1	131269	294222	2.24	0	24
NW_026510876.1	44083	211340	4.79	0	91
NW_026510877.1	406329	702656	1.73	0	39
NW_026510878.1	37032	138180	3.73	0	45
NW_026510879.1	67116	316848	4.72	0	75
NW_026510880.1	90513	113681	1.26	0	10
NW_026510881.1	59610	123640	2.07	0	33
NW_026510882.1	71049	217390	3.06	0	16
NW_026510883.1	33755	106574	3.16	0	13
NW_026510884.1	137778	296747	2.15	0	21
NW_026510885.1	149092	343717	2.31	0	16
NW_026510886.1	136627	573261	4.20	0	32
NW_026510887.1	58259	405314	6.96	0	173
NW_026510888.1	43128	62572	1.45	0	9
NW_026510889.1	145947	537173	3.68	0	69
NW_026510890.1	31313	62069	1.98	0	12
NW_026510891.1	41575	121106	2.91	0	16
NW_026510892.1	152723	247559	1.62	0	29
NW_026510893.1	50145	72690	1.45	0	13
NW_026510894.1	168310	18819687	111.82	0	158404
NW_026510895.1	27596	188151	6.82	0	84
NW_026510896.1	53111	233518	4.40	0	75
NW_026510897.1	173336	254509	1.47	0	30
NW_026510898.1	32654	341302	10.45	0	289
NW_026510899.1	69884	354046	5.07	0	211
NW_026510900.1	57582	148976	2.59	0	37
NW_026510901.1	36769	91971	2.50	0	35
NW_026510902.1	13094	13372	1.02	0	6
NW_026510903.1	133911	472047	3.53	0	19
NW_026510904.1	116350	274071	2.36	0	20
NW_026510905.1	21065	38658	1.84	0	9
NW_026510906.1	46544	117564	2.53	0	17
NW_026510907.1	31559	94572	3.00	0	20
NW_026510908.1	42313	113932	2.69	0	14
NW_026510909.1	22942	44459	1.94	0	61
NW_026510910.1	35714	128682	3.60	0	20
NW_026510911.1	49998	90745	1.81	0	15
NW_026510912.1	12783	49237	3.85	0	28
NW_026510913.1	34412	159732	4.64	0	29
NW_026510914.1	20154	43676	2.17	0	23
NW_026510915.1	64384	97522	1.51	0	12
NW_026510916.1	26879	115141	4.28	0	56
NW_026510917.1	109331	376059	3.44	0	63
NW_026510918.1	342400	1191791	3.48	0	444
NW_026510919.1	257897	950930	3.69	0	84
NW_026510920.1	27621	180959	6.55	0	236
NW_026510921.1	53543	87658	1.64	0	13
NW_026510922.1	186050	543502	2.92	0	63
NW_026510923.1	12461	39471	3.17	0	20
NW_026510924.1	23472	57359	2.44	0	10
NW_026510925.1	16129	19650	1.22	0	7
NW_026510926.1	74514	87399	1.17	0	12
NW_026510927.1	270733	749981	2.77	0	142
NW_026510928.1	125326	379816	3.03	0	39
NW_026510929.1	26297	79056	3.01	0	16
NW_026510930.1	20946	65950	3.15	0	12
NW_026510931.1	51241	287178	5.60	0	30
NW_026510932.1	185679	405077	2.18	0	21
NW_026510933.1	39759	124987	3.14	0	20
NW_026510934.1	86851	214603	2.47	0	14
NW_026510935.1	6533	12353	1.89	0	7
NW_026510936.1	536005	1847304	3.45	0	187
NW_026510937.1	114872	257663	2.24	0	22
NW_026510938.1	303822	569544	1.87	0	143
NW_026510939.1	38855	88597	2.28	0	21
NW_026510940.1	190818	572776	3.00	0	18
NW_026510941.1	103143	266317	2.58	0	21
NW_026510942.1	75175	147330	1.96	0	19
NW_026510943.1	52073	167704	3.22	0	15
NW_026510944.1	100772	221557	2.20	0	21
NW_026510945.1	22836	73122	3.20	0	15
NW_026510946.1	65001	613841	9.44	0	713
NW_026510947.1	34851	78812	2.26	0	11
NW_026510948.1	50437	175627	3.48	0	15
NW_026510949.1	79124	156521	1.98	0	12
NW_026510950.1	153881	935082	6.08	0	830
NW_026510951.1	30430	133576	4.39	0	26
NW_026510952.1	139651	134477	0.96	0	10
NW_026510953.1	35667	128763	3.61	0	54
NW_026510954.1	10554	113774	10.78	0	70
NW_026510955.1	29302	83174	2.84	0	11
NW_026510956.1	49074	419398	8.55	0	121
NW_026510957.1	30070	146233	4.86	0	36
NW_026510958.1	85435	243330	2.85	0	44
NW_026510959.1	89752	173178	1.93	0	18
NW_026510960.1	45048	141744	3.15	0	50
NW_026510961.1	208153	815080	3.92	0	695
NW_026510962.1	97250	180578	1.86	0	18
NW_026510963.1	50008	58190	1.16	0	10
NW_026510964.1	23464	40453	1.72	0	11
NW_026510965.1	286038	789783	2.76	0	51
NW_026510966.1	33805	78415	2.32	0	10
NW_026510967.1	69167	38221	0.55	0	11
NW_026510968.1	52112	62517	1.20	0	7
NW_026510969.1	114126	277849	2.43	0	26
NW_026510970.1	25728	79413	3.09	0	12
NW_026510971.1	24083	43892	1.82	0	10
NW_026510972.1	312848	396903	1.27	0	25
NW_026510973.1	96591	250656	2.60	0	162
NW_026510974.1	79022	146376	1.85	0	14
NW_026510975.1	229305	382707	1.67	0	15
NW_026510976.1	133982	745351	5.56	0	33
NW_026510977.1	51742	90769	1.75	0	18
NW_026510978.1	52939	140814	2.66	0	17
NW_026510979.1	138391	339209	2.45	0	22
NW_026510980.1	25894	147350	5.69	0	73
NW_026510981.1	494628	959790	1.94	0	28
NW_026510982.1	38670	93021	2.41	0	12
NW_026510983.1	52257	65902	1.26	0	23
NW_026510984.1	92690	322123	3.48	0	23
NW_026510985.1	91036	178972	1.97	0	19
NW_026510986.1	86126	228432	2.65	0	13
NW_026510987.1	81584	172529	2.11	0	17
NW_026510988.1	74531	132023	1.77	0	47
NW_026510989.1	53888	528841	9.81	0	100
NW_026510990.1	53752	153821	2.86	0	30
NW_026510991.1	275815	807966	2.93	0	32
NW_026510992.1	59120	118418	2.00	0	22
NW_026510993.1	34081	20113	0.59	0	11
NW_026510994.1	50486	51431	1.02	0	7
NW_026510995.1	32079	77573	2.42	0	21
NW_026510996.1	10229	17174	1.68	0	22
NW_026510997.1	139942	193973	1.39	0	40
NW_026510998.1	32752	89926	2.75	0	35
NW_026510999.1	36546	277767	7.60	0	117
NW_026511000.1	144606	476968	3.30	0	19
NW_026511001.1	69612	126487	1.82	0	27
NW_026511002.1	44358	80772	1.82	0	10
NW_026511003.1	72776	515505	7.08	0	37
NW_026511004.1	36611	231054	6.31	0	346
NW_026511005.1	130673	264421	2.02	0	43
NW_026511006.1	20977	116564	5.56	0	20
NW_026511007.1	70174	161932	2.31	0	14
NW_026511008.1	124447	322123	2.59	0	17
NW_026511009.1	113200	415446	3.67	0	25
NW_026511010.1	23370	159977	6.85	0	23
NW_026511011.1	31592	72794	2.30	0	40
NW_026511012.1	251755	500624	1.99	0	17
NW_026511013.1	299885	657679	2.19	0	31
NW_026511014.1	94685	244016	2.58	0	41
NW_026511015.1	68894	94921	1.38	0	13
NW_026511016.1	21428	90365	4.22	0	21
NW_026511017.1	7349	31992	4.35	0	14
NW_026511018.1	100738	211202	2.10	0	53
NW_026511019.1	161866	403672	2.49	0	29
NW_026511020.1	58293	179937	3.09	0	32
NW_026511021.1	32798	149342	4.55	0	34
NW_026511022.1	44541	200463	4.50	0	25
NW_026511023.1	57060	117657	2.06	0	14
NW_026511024.1	21561	351305	16.29	0	64
NW_026511025.1	262684	341118	1.30	0	13
NW_026511026.1	43922	155941	3.55	0	13
NW_026511027.1	42649	78404	1.84	0	10
NW_026511028.1	41900	55806	1.33	0	17
NW_026511029.1	38259	171618	4.49	0	52
NW_026511030.1	61841	59952	0.97	0	9
NW_026511031.1	35582	127586	3.59	0	18
NW_026511032.1	121518	191779	1.58	0	18
NW_026511033.1	51978	67362	1.30	0	9
NW_026511034.1	23305	40976	1.76	0	9
NW_026511035.1	29326	98086	3.34	0	23
NW_026511036.1	195493	347574	1.78	0	21
NW_026511037.1	32405	233942	7.22	0	222
NW_026511038.1	31690	77919	2.46	0	11
NW_026511039.1	343202	734585	2.14	0	43
NW_026511040.1	234371	452796	1.93	0	47
NW_026511041.1	270045	1694914	6.28	0	181
NW_026511042.1	4519	2864	0.63	0	4
NW_026511043.1	14428	50970	3.53	0	22
NW_026511044.1	106949	599215	5.60	0	43
NW_026511045.1	55593	92909	1.67	0	15
NW_026511046.1	27758	264379	9.52	0	104
NW_026511047.1	67921	588654	8.67	0	47
NW_026511048.1	55740	295050	5.29	0	50
NW_026511049.1	50007	85563	1.71	0	15
NW_026511050.1	22969	70654	3.08	0	13
NW_026511051.1	318595	756517	2.37	0	37
NW_026511052.1	419461	1121470	2.67	0	27
NW_026511053.1	55399	302485	5.46	0	39
NW_026511054.1	192105	820948	4.27	0	102
NW_026511055.1	34579	274673	7.94	0	312
NW_026511056.1	79436	256025	3.22	0	24
NW_026511057.1	179973	463366	2.57	0	21
NW_026511058.1	21564	61571	2.86	0	16
NW_026511059.1	22032	55224	2.51	0	18
NW_026511060.1	223352	267712	1.20	0	23
NW_026511061.1	54386	479851	8.82	0	96
NW_026511062.1	27511	121866	4.43	0	44
NW_026511063.1	98851	248007	2.51	0	18
NW_026511064.1	61883	97002	1.57	0	27
NW_026511065.1	337158	1722376	5.11	0	192
NW_026511066.1	58892	1808211	30.70	0	310
NW_026511067.1	41919	136014	3.24	0	20
NW_026511068.1	33673	83432	2.48	0	22
NW_026511069.1	47667	132090	2.77	0	13
NW_026511070.1	23903	417258	17.46	0	231
NW_026511071.1	44283	427973	9.66	0	112
NW_026511072.1	60622	122990	2.03	0	18
NW_026511073.1	156071	558589	3.58	0	24
NW_026511074.1	62439	521290	8.35	0	902
NW_026511075.1	84339	355263	4.21	0	19
NW_026511076.1	26384	58444	2.22	0	17
NW_026511077.1	34645	24841	0.72	0	13
NW_026511078.1	38188	58088	1.52	0	11
NW_026511079.1	109361	1382529	12.64	0	176
NW_026511080.1	35176	149401	4.25	0	18
NW_026511081.1	22439	46419	2.07	0	10
NW_026511082.1	57410	373143	6.50	0	150
NW_026511083.1	250617	554512	2.21	0	29
NW_026511084.1	149114	216015	1.45	0	27
NW_026511085.1	242584	1782171	7.35	0	188
NW_026511086.1	38001	105515	2.78	0	46
NW_026511087.1	31644	99427	3.14	0	24
NW_026511088.1	117634	369924	3.14	0	22
NW_026511089.1	43609	249727	5.73	0	102
NW_026511090.1	49570	140167	2.83	0	22
NW_026511091.1	240041	386392	1.61	0	46
NW_026511092.1	76359	211628	2.77	0	287
NW_026511093.1	25728	99038	3.85	0	31
NW_026511094.1	86668	113804	1.31	0	11
NW_026511095.1	48571	201417	4.15	0	16
NW_026511096.1	21156	64296	3.04	0	10
NW_026511097.1	370870	1142886	3.08	0	145
NW_026511098.1	46340	173278	3.74	0	18
NW_026511099.1	62147	275629	4.44	0	73
NW_026511100.1	317244	976090	3.08	0	96
NW_026511101.1	2706	24173	8.93	0	54
NW_026511102.1	34013	75430	2.22	0	11
NW_026511103.1	156548	264244	1.69	0	23
NW_026511104.1	38552	53997	1.40	0	9
NW_026511105.1	474804	1992645	4.20	0	35
NW_026511106.1	89200	249666	2.80	0	32
NW_026511107.1	43811	142775	3.26	0	16
NW_026511108.1	78539	315629	4.02	0	144
NW_026511109.1	31504	80745	2.56	0	11
NW_026511110.1	195476	359680	1.84	0	60
NW_026511111.1	43215	143174	3.31	0	15
NW_026511112.1	33141	148614	4.48	0	25
NW_026511113.1	45846	123625	2.70	0	13
NW_026511114.1	39743	159448	4.01	0	151
NW_026511115.1	49342	282818	5.73	0	33
NW_026511116.1	49997	56384	1.13	0	9
NW_026511117.1	49838	84039	1.69	0	15
NW_026511118.1	16311	48169	2.95	0	12
NW_026511119.1	104457	263597	2.52	0	13
NW_026511120.1	429902	887462	2.06	0	53
NW_026511121.1	37929	203765	5.37	0	95
NW_026511122.1	58864	541156	9.19	0	296
NW_026511123.1	31115	318357	10.23	0	266
NW_026511124.1	153317	737114	4.81	0	74
NW_026511125.1	52633	204910	3.89	0	24
NW_026511126.1	28305	70995	2.51	0	13
NW_026511127.1	59567	3368133	56.54	0	850
NW_026511128.1	38636	61120	1.58	0	27
NW_026511129.1	35568	169007	4.75	0	26
NW_026511130.1	134979	338568	2.51	0	21
NW_026511131.1	44298	220734	4.98	0	179
NW_026511132.1	23655	67109	2.84	0	13
NW_026511133.1	133670	298232	2.23	0	54
NW_026511134.1	45660	124763	2.73	0	17
NW_026511135.1	86432	61173	0.71	0	11
NW_026511136.1	94910	261995	2.76	0	18
NW_026511137.1	45483	118343	2.60	0	13
NW_026511138.1	49996	60503	1.21	0	10
NW_026511139.1	41629	208282	5.00	0	29
NW_026511140.1	87318	164465	1.88	0	31
NW_026511141.1	63808	148591	2.33	0	16
NW_026511142.1	81945	250457	3.06	0	20
NW_026511143.1	104339	256992	2.46	0	26
NW_026511144.1	357742	1737234	4.86	0	152
NW_026511145.1	50885	231592	4.55	0	41
NW_026511146.1	182506	660798	3.62	0	21
NW_026511147.1	48367	87746	1.81	0	12
NW_026511148.1	155783	475684	3.05	0	37
NW_026511149.1	139113	289225	2.08	0	37
NW_026511150.1	123758	609421	4.92	0	38
NW_026511151.1	8466	60899	7.19	0	21
NW_026511152.1	109659	251087	2.29	0	61
NW_026511153.1	57577	323820	5.62	0	159
NW_026511154.1	24206	106705	4.41	0	22
NW_026511155.1	35755	96561	2.70	0	13
NW_026511156.1	52288	236616	4.53	0	21
NW_026511157.1	31380	74213	2.36	0	15
NW_026511158.1	82465	369805	4.48	0	40
NW_026511159.1	52141	126397	2.42	0	15
NW_026511160.1	36718	150232	4.09	0	34
NW_026511161.1	64998	140662	2.16	0	447
NW_026511162.1	36653	152405	4.16	0	40
NW_026511163.1	40281	137094	3.40	0	16
NW_026511164.1	28605	210967	7.38	0	29
NW_026511165.1	139047	424810	3.06	0	28
NW_026511166.1	39585	230370	5.82	0	35
NW_026511167.1	42327	101006	2.39	0	13
